,Date,Study,Study Link,Journal,Study Type,Adressed Population,Challenge,Solution,Measure of Evidence,Added on
0,2020-05-07,The Value of Remote Monitoring for the COVID-19 Pandemic,https://doi.org/10.1089/tmj.2020.0134,Telemedicine and e-Health,Editorial,Patients,Which form of telemedicine is best suited,Remote monitoring appears to be a logical solution to be deployed.,-,5/10/2020
1,2020-05-07,Systems Barriers to Assessment and Treatment of COVID-19 Positive Patients at the End of Life.,https://doi.org/10.1089/jpm.2020.0190,Journal of Palliative Medicine,Case Study,Palliative care patients,Barriers to Assessment and Treatment of COVID-19,Continue to deliver aggressive symptom management at the End Of Life despite these new and unexpected barriers,patient: 1,5/10/2020
2,2020-05-05,Going viral: how to boost the spread of coronavirus science on social media,https://doi.org/10.1038/d41586-020-01356-y,Nature,Editorial,General population,Coronavirus science on social media,"Good science communication involves storytelling, avoiding jargon and making science accessible.",-,5/10/2020
3,2020-05-05,Access to Telemedicine-Are We Doing All That We Can during the COVID-19 Pandemic?,https://doi.org/10.1177/0194599820925049,Otolaryngology–Head and Neck Surgery,Editorial,Patients,Difficult populations to reach with digital technology,Older and less educated patients are often the ones who suffer from poorer health,weeks: 4,5/10/2020
4,2020-05-05,Creation of Educational Videos for Patients Undergoing Nonelective Surgery: Tools for the COVID-19 Era.,https://doi.org/10.1177/0194599820925043,Otolaryngology–Head and Neck Surgery,Expert Review,Pre-surgical patients,Communication with patients,"Embracing educational videos as a valuable tool will improve communication with patients, especially during the times of COVID-19 and beyond.",studies: 9,5/10/2020
5,2020-05-03,Bereavement support on the frontline of COVID-19: Recommendations for hospital clinicians.,https://doi.org/10.1016/j.jpainsymman.2020.04.024,Journal of Pain and Symptom Management,Expert Review,Health care workers,Emotionally challenging work on staff,Recommend an organisational and systemic approach which includes access to informal and professional support.,studies: 41,5/10/2020
6,2020-05-02,How Big Data and Artificial Intelligence Can Help Better Manage the COVID-19 Pandemic.,https://doi.org/10.3390/ijerph17093176,International Journal of Environmental Research and Public Health,Expert Review,"Health care workers, government, public health experts","Huge, unprecedented amount of data","AI and Big Data can help sort data derived from public health surveillance, real-time epidemic outbreaks monitoring, trend now-casting/forecasting, regular situation briefing and updating from governmental institutions and organisms, and health facility utilization information.",studies: 30,5/10/2020
7,2020-04-30,Healthy communication in the promotion of healthy aging during COVID-19 pandemic,http://www.cmj.hr/2020/61/2/32378385.htm,Croation Medical Journal,Editorial,Elderly,Improve communication,Promoting healthy aging at all levels (from local to global) is a continuous process in which it is essential to improve communication.,studies: 9,5/10/2020
8,2020-04-26,Interdisciplinary Perspectives on Health Literacy Research Around the World: More Important Than Ever in a Time of COVID-19.,https://doi.org/10.3390/ijerph17093010,International Journal of Environmental Research and Public Health,Editorial,General population,Health literacy,"A greater understanding, appreciation, and application of health literacy can support policy action on multiple levels to address major public health challenges.",model: SEM,5/10/2020
9,2020-04-21,Information Overload: A Method to Share Updates among Frontline Staff during the COVID-19 Pandemic,https://doi.org/10.1177/0194599820922988,Otolaryngology–Head and Neck Surgery,Expert Review,Otolaryngology Department,Guidelines,"A 1-page centralized document termed a “quicksheet” was developed to include guidelines, policies, and practical information and to serve as a reference tool for our clinicians.",-,4/22/2020
10,2020-04-17,Secure Communication Conduits During COVID19 Lockdown,10.1111/ced.14244,Clinical and Experimental Dermatology,Expert Review,Clinicians,Secure Communication,"WhatsApp, Nye, Myskinselfie, Hospify, Pando",-,4/22/2020
11,2020-04-17,"Preparedness, prevention and control of coronavirus disease (COVID-19) for refugees and migrants in non-camp settings",https://www.who.int/publications-detail/preparedness-prevention-and-control-of-coronavirus-disease-(covid-19)-for-refugees-and-migrants-in-non-camp-settings,WHO,Expert Review,Refugees and Migrants,Coronavirus disease (COVID-19) for refugees and migrants,"Provide culturally and linguistically appropriate, accurate, timely and user-friendly information in accessible formats on the health facilities available for COVID-19 care, Identify and work with groups able to communicate well with refugees and migrants. Information on how people can seek testing, care and treatment could be provided through local 24/7 COVID-19 telephone hotlines as well as visual and other forms of educational materials.",studies: 29,4/23/2020
12,2020-04-15,More effective strategies are required to strengthen public awareness of COVID-19: Evidence from Google Trends.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7182392/,Journal of Global Health,Systematic review and meta-analysis,Government/general population,Publicity of COVID-19,"Governments should strengthen the publicity of COVID-19 nationally, strengthen the public's vigilance and sensitivity to COVID-19, inform public the importance of protecting themselves with enough precautionary measures, and finally control the spread of COVID-19 globally","countries: 6 (USA, the UK, Canada, Ireland, Australia, and New Zealand); terms: 6",5/10/2020
13,2020-04-15,Personal protective equipment for preventing highly infectious diseases due to exposure to contaminated body fluids in healthcare staff.,https://doi.org/10.1002/14651858.CD011621.pub4,Cochrane Database of Systematic Reviews (CDSR),Systematic review and meta-analysis,Health care workers,Reduce PPE errors,Face-to-face training in PPE use may reduce errors more than folder-based training.,studies: 24; participants: 2278,4/22/2020
14,2020-04-14,A Mobile Health Platform to Disseminate Validated Institutional Measurements During the COVID-19 Outbreak: Utilization-Focused Evaluation Study,10.2196/18668,JMIR: Public Health and Surveillance,Case Series,Medical staff of the Children’s Hospital at the University Hospitals of Geneva,Disseminate up-to-date and validated information,Utilization of a dedicated mobile health (mHealth) platform to disseminate up-to-date and validated information about SARS-CoV-2 to all medical staff of the Children’s Hospital at the University Hospitals of Geneva.,-,4/22/2020
15,2020-04-13,Use of Handheld Transceiver for Hospital Healthcare Workers-Caregiver Communication During the Coronavirus disease 2019 (COVID-19) Outbreak in Pediatric Emergency Department,10.1097/INF.0000000000002689,The Pediatric Infectious Disease Journal,Case Series,Pediatric patients,"Real-time, 2-way communication","Dedicated rooms to lockdown infected children, without an interphone or telemetry system, were set up, cameras were positioned inside, and hand-held transceivers (HTs) were given to the parents for communication with the HCWs. HTs let these interactions be synchronous, wherein parties engage in real-time, 2-way communication, without any delay of time.",-,4/22/2020
16,2020-04-07,The effective use of telemedicine to save lives and maintain structure in a healthcare system: Current response to COVID-19,https://www.ajemjournal.com/article/S0735-6757(20)30231-X/pdf,American Journal of Emergency Medicine,Expert Review,Elderly patients,Telemedicine,"With telemedicine, elderly patients can continue their care, lowering their nonemergent office visits",studies: 7,4/28/2020
17,2020-04-03,Investigation of three clusters of COVID-19 in Singapore: implications for surveillance and response measures,https://doi.org/10.1016/S0140-6736(20)30528-6,The Lancet,Case Series,Quarantined population,Quarantine violators,We video-called individuals who were quarantined at home three times a day to verify their location; quarantine violators were tagged with a continuous tracking device. We placed other contacts (depending on risk stratification) on phone surveillance or advised them to self-monitor and visit a primary-care clinic if they became unwell.,days: 14; clusters: 3,4/22/2020
18,2020-04-02,Communication Skills in the Age of COVID-19,https://dx.doi.org/10.7326%2FM20-1376,Annals of Internal Medicine,Editorial,Severely ill,Proactive COVID-19 planning,"Care from a clinician who communicates their caring--including proactive COVID-19 planning for patients who are already frail with other serious illnesses, facilitating virtual goodbyes between family members and dying patients with restricted access, and explaining decisions on why a particular patient will not receive a scarce resource--could mitigate a measure of the suspicion and mistrust that seems likely to be another legacy of COVID-19.",-,4/26/2020
19,2020-03-31,Applying Palliative Care Principles to Communicate with Children about COVID-19,https://doi.org/10.1016/j.jpainsymman.2020.03.020,Journal of Pain and Symptom Management,Expert Review,Children,Communication,"Palliative care teams are wise to encourage families to ground their communication with children on key values: honesty and trust, self-compassion, safety, sensitivity, connection, preparedness, community-building, recognition of death as a part of the lifecycle, and legacy.",values: 9,4/26/2020
20,2020-03-31,Protecting the psychological health of children through effective communication about COVID-19,https://www.thelancet.com/pdfs/journals/lanchi/PIIS2352-4642(20)30097-3.pdf,The Lancet Child & Adolescent Health,Editorial,Children,Uncertainty and psychological challenges of the pandemic,"Adults need to be authentic about some of the uncertainty and psychological challenges of the pandemic, without overwhelming children with their own fears.",-,4/26/2020
21,2020-03-24,COVID-19 pandemic: palliative care for elderly and frail patients at home and in residential and nursing homes,https://doi.org/10.4414/smw.2020.20235,Swiss Medical Weekly,Editorial,Palliative care patients and families,Advance care planning,"Advance care planning is of crucial importance before, or at the latest when, the infection is diagnosed. Explaining not only the serious nature of the infection and the poor prognosis – even with intensive care – but also the possibilities of palliative care allows the patient to make an autonomous decision on how to proceed. In spite of any ban on visits to care homes, relatives must be offered the chance to be with the patient and say goodbye, while complying with protective measures. They should also receive appropriate support.",-,4/22/2020
22,2020-03-19,Considerations for quarantine of individuals in the context of containment for coronavirus disease (COVID-19),https://apps.who.int/iris/bitstream/handle/10665/331497/WHO-2019-nCoV-IHR_Quarantine-2020.2-eng.pdf,World Health Organization,Editorial,Quarantined population,Reliable information about quarantine measures.,"Authorities must provide people with clear, up-to-date, transparent and consistent guidelines, and with reliable information about quarantine measures.",-,4/22/2020
23,2020-03-13,Bearing the brunt of covid-19: older people in low and middle income countries,https://doi.org/10.1136/bmj.m1052,The BMJ,Systematic review and meta-analysis,Elderly in Low/ Middle-Income Countries,National and global planning,"An age perspective should be included explicitly in the development of national and global planning for covid-19, and a global expert group on older people should be formed to support with guidance and response to the virus in both residential facilities and home settings. As new knowledge emerges, this group can identify and evaluate cost effective therapies and interventions that respond to the particular needs of older people in LMICs living in challenging settings, where formal health service infrastructure is limited.",concerns: 4,4/22/2020
24,2020-02-26,"WeChat, a Chinese social media, may early detect the SARS-CoV-2 outbreak in 2019",https://doi.org/10.1101/2020.02.24.20026682,medRxiv,Cross-sectional study,Any high-risk populations,Early detect the SARS-CoV-2 outbreak,"When suspected cases admitted to hospitals, involved physicians may mention Feidian and communicate in WeChat using this word.",terms: 14,4/28/2020
25,2020-02-24,Coronavirus Disease 2019 (COVID-19) and pregnancy: what obstetricians need to know,https://doi.org/10.1016/j.ajog.2020.02.017,ScienceDirect,Expert Review,Pregnant women,Surveillance systems for cases of COVID-19,Surveillance systems for cases of COVID-19 need to include information on pregnancy status as well as maternal and fetal outcomes. Obstetric providers should obtain a detailed travel history for all patients and should specifically ask about travel in the past 14 days to areas experiencing widespread transmission of SARS-CoV-2.,studies: 54,4/22/2020
26,2020-02-18,"Communication, transparency key as Canada faces new coronavirus threat",https://www.cmaj.ca/content/cmaj/192/7/E171.full.pdf,Canadian Medical Association Journal,Editorial,"Patient transporters, general public",Two-way communication,"Two-way communication between hospital decision makers and front-line providers is key. Transparency is also vital to ensure the public cooperates in quarantine, reporting and surveillance measures.",-,4/26/2020
27,2020-02-03,"Communication, collaboration and cooperation can stop the 2019 coronavirus",https://dx.doi.org/10.1038%2Fs41591-020-0775-x,Nature Medicine,Editorial,National/public health leaders,Global infectious-disease emergencies,"Countries have a responsibility to be transparent in their reporting and actions, both to their own populations and to the international community, in order to facilitate and accelerate cooperation that will ultimately curtail outbreaks and minimize harm.",-,4/26/2020
