,Date,Study,Study Link,Journal,Study Type,Adressed Population,Challenge,Proposed Solution,"Measure of Evidence Strength, if found",Added on
0,2020-05-08,Respiratory surveillance wards as a strategy to reduce nosocomial transmission of COVID-19 through early detection: the experience of a tertiary hospital in Singapore.,https://doi.org/10.1017/ice.2020.207,Infection Control & Hospital Epidemiology,Case Series,Health-care staff,Early isolation and containment,"Institution introduced a ""respiratory surveillance ward"" (RSW) to segregate all patients with respiratory symptoms in designated areas",patients: 1178,5/10/2020
1,2020-05-05,Repurposing and reshaping of hospitals during the COVID-19 outbreak in South Korea.,https://doi.org/10.1016/j.onehlt.2020.100137,One Health,Expert Review,Health-care staff,Mitigate community transmission and prevent nosocomial infection.,"The reallocation of health care capacity, repurposing of hospitals, and close collaboration between the government and the health care committee might have been the key to successfully addressing the crisis of COVID-19 given the shortage of health care resources.",hospitals: 67,5/10/2020
2,2020-05-01,"COVID-19, superinfections and antimicrobial development: What can we expect?",https://doi.org/10.1093/cid/ciaa524,Clinical Infectious Diseases,Systematic review and meta-analysis,Health-care staff and drug development,"Superinfections, AMR and antimicrobial development during the pandemic","Results from carefully designed studies early in the pandemic can be used to inform rational antimicrobial treatment and stewardship strategies, and to develop diagnostic criteria for superinfections.",studies: 16,5/10/2020
3,2020-04-30,Environmental Contamination of SARS-CoV-2 in Healthcare Premises.,https://doi.org/10.1016/j.jinf.2020.04.034,Journal of Infection,Cross-sectional study,Health-care staff,Hospitals are significant epicenters for the human-to-human transmission,"Ensure adequate environmental cleaning, strengthen infection prevention training, and improve infection prevention among HCWs during the outbreak of COVID-19.",surface swabs: 626,5/10/2020
4,2020-04-28,Rapid Implementation of an Adult COVID-19 Unit in a Children's Hospital.,https://doi.org/10.1016/j.jpeds.2020.04.060,Journal of Pediatrics,Case Series,Pediatric staff,Rapid implementation of an adult unit,"Pediatric team screened, admitted, and cared for hospitalized adults by leveraging the familiarity of our system, adaptability of our staff, and high-quality infrastructure.",patients: 100,5/10/2020
5,2020-04-27,A quick evaluation method of nosocomial infection risk for cancer hospitals during the COVID-19 pandemic.,https://doi.org/10.1007/s00432-020-03235-5,Journal of Cancer Research and Clinical Oncology,Simulation,Cancer unit staff,Nosocomial infections,"Develop a risk model based on the experience of recently resumed activities in many cancer hospitals in China, could also be integrated into the hospital's emergency response system in a timely manner.",surveys: 83,5/10/2020
6,2020-04-26,COVID-19 and its implications in the management of resource infrastructure.,https://dx.doi.org/10.1016%2Fj.jds.2020.04.008,Journal of Dental Science,Editorial,Dental staff,Distributions of resources,Keeping stock of equipment and of planning longer and more frequent shifts,-,5/10/2020
7,2020-04-23,Prevention of nosocomial COVID-19: Another challenge of the pandemic.,https://doi.org/10.1017/ice.2020.166,Infection Control & Hospital Epidemiology,Editorial,Health-care staff,Nosocomially acquired COVID-19,"Optimal preventive approach, which will probably include the regular screening of all asymptomatic healthcare personnel working at wards with high rates of nosocomial transmission.",weeks: 15,5/10/2020
8,2020-04-22,Implementing Physical Distancing in the Hospital: A Key Strategy to Prevent Nosocomial Transmission of COVID-19,https://doi.org/10.12788/jhm.3434,Journal of Hospital Medicine,Editorial,Hospitalists,Nosocomial Transmission of COVID-19,Physical distancing in the hospital is critical to ensure the health and well-being of the health professional workforce during the pandemic.,-,5/10/2020
9,2020-04-20,COVID-19: Limiting the Risks for Eye Care Professionals.,https://www.tandfonline.com/doi/abs/10.1080/09273948.2020.1755442,Ocular Immunology and Inflammation,Expert Review,Ophthalmology staff,Limiting the Risks for Eye Care Professionals,"Strategies and recommendations for ophthalmologists to reduce transmission: Minimizing Exposures, Standard and Transmission-Directed Precautions, Aerosol-Generating and Contact or Invasive Diagnostic Procedures, Non-Emergency Surgery, Infection Control at the Hospital. Association between conjunctivitis and SARS-CoV-2 is still unclear.",studies: 29,4/22/2020
10,2020-04-20,Surgical Infection Society Guidance for Operative and Peri-Operative Care of Adult Patients Infected by the Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2),https://www.liebertpub.com/doi/abs/10.1089/SUR.2020.101,Surgical Infection Society,Expert Review,Surgical staff,Surgical Infection,"Patient Environment, Peri-Operative Considerations for COVID-19 Patients, Removal of Surgical Attire after the Operation,  High-Risk Interventions and COVID-19 Patients (ET intubation, Tracheostomy, Endoscopy, Laparoscopy, Surgical smoke evacuation), Cleaning the OR, Potential Exposure of a Provider",studies: 36,4/22/2020
11,2020-04-18,The prevention and management of the coronavirus disease 2019 (COVID-19) outbreak in radiology departments in epidemic areas.,https://link.springer.com/content/pdf/10.1007/s11604-020-00974-w.pdf,Japanese Journal of Radiology,Expert Review,prevention and management of COVID-19 outbreak in radiology departments,Reduce hospital transmission,Lays out the plan for disease prevention and control in the radiology department of our hospital to provide a reference for hospital managers and our peers in radiology departments around the world.,studies: 4,4/22/2020
12,2020-04-17,Can N95 respirators be reused after disinfection? And for how many times?,https://doi.org/10.1101/2020.04.01.20050443,medRxiv,Cross-sectional study,Health-care staff,N95 respirators reused,"Heating (dry or in the presence humidity) <100 °C can preserve the filtration characteristics of a pristine N95 respirator, but advise against using certain liquid contact, such as alcohol solutions, chlorine-based solutions, or soaps to clean the respirator, as this will lead to a degradation.",samples: 3,4/26/2020
13,2020-04-17,European Society of Trauma and Emergency Surgery (ESTES) recommendations for trauma and emergency surgery preparation during times of COVID-19 infection.,https://doi.org/10.1007/s00068-020-01364-7,European Society of Trauma and Emergency Surgery,Expert Review,Trauma/surgical staff,Trauma and emergency surgery preparation,(1) General recommendation for surgical services; (2) Emergency Surgery for critically ill COVID-19 positive or suspected patients -Preoperative planning and case selection; (3) Operating Room setup; (4) patient transport to the OR; (5) Surgical staf preparation; (6) Anesthesia considerations; (7) Surgical approach; and (8) Case Completion.,studies: 17,4/22/2020
14,2020-04-17,Nosocomial infections in psychiatric hospitals during the new coronavirus pneumonia (NCP) outbreak.,https://www.sciencedirect.com/science/article/pii/S0213616320300380,The European Journal of Psychiatry,Retrospective observational study,Psychiatry staff,Recommendations for prevention,10 recommendations for prevention: including early discharging and often patient/staff temp checks,cases: 200,4/22/2020
15,2020-04-16,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1.,https://www.nejm.org/doi/full/10.1056/nejmc2004973,New England Journal of Medicine,Cross-sectional study,Health-care staff,Reduce aerosol transmission,"Results indicate that aerosol and fomite transmission of SARS-CoV-2 is plausible, forms of transmission which were associated with nosocomial spread and super-spreading events",countries: 2,4/22/2020
16,2020-04-16,How to avoid nosocomial spread during Tracheostomy for Covid-19 patients.,https://onlinelibrary.wiley.com/doi/abs/10.1002/hed.26167,Journal of Sciences and Specialties of the Head and Neck,Expert Review,Trachiostomy staff,Avoid aerosolization of secretions,Modified tracheostomy procedure instruction,-,4/22/2020
17,2020-04-14,How to transform a general hospital into an “infectious disease hospital” during the epidemic of COVID-19,https://dx.doi.org/10.1186%2Fs13054-020-02864-z,Critical Care,Editorial,Health-care staff and administration,General hospital into an “infectious disease hospital”,Reconstructing an existing hospital into an infectious disease hospital (IDH) is an important strategy to prepare for the epidemic,-,4/26/2020
18,2020-04-13,"Nosocomial infection among patients with coronavirus disease-2019: a retrospective data analysis of 918 cases from a single center in Wuhan city, China.",https://www.cambridge.org/core/journals/infection-control-and-hospital-epidemiology/article/nosocomial-infection-among-patients-with-coronavirus-disease2019-a-retrospective-data-analysis-of-918-cases-from-a-single-center-in-wuhan-city-china/D081CB281E1E64A331C0937C6AAE78EC,Infection control and hospital epidemiology,Retrospective observational study,Health-care staff,Nosocomial infections,"Nosocomial infections are common among patients with COVID19 and can be predictable by considering certain risk factors: diabetes, hematological disease, invasive devices (CVC or PICC), combination of antibiotics, and glucocorticoid treatment.",patients: 918,4/22/2020
19,2020-04-12,Donor organ evaluation in the era of coronavirus disease 2019: A case of nosocomial infection,https://www.jhltonline.org/article/S1053-2498(20)31514-X/pdf,The Journal of Heart and Lung Transplantation,Case Series,Transplant staff,Nosocomial infection,"The International Society for Heart and Lung Transplantation currently recommends that all donors should be tested for SARS-CoV-2 infection if testing is available. Decline organs from donors with positive RT-PCR testing, even for an isolated cardiac transplant",studies: 4,4/26/2020
20,2020-04-11,The efficiency in the ordinary hospital bed management in Italy: an in-depth analysis of intensive care unit in the areas affected by COVID-19 before the outbreak,https://doi.org/10.1101/2020.04.06.20055848,medRxiv,Ecological regression,Health-care staff,Hospital bed management,"Study underlines that, despite the reduction of beds for the majority of the hospital wards, ICUs availabilities did not change, allowing hospitals to treat patients without the risk of having an overabundance of patients and a scarcity of beds.",data sets: 2,4/26/2020
21,2020-04-11,Assessment of preparedness against emerging infectious disease among private hospitals in a district of South India,https://doi.org/10.1016/j.mjafi.2020.02.007,Medical Journal Armed Forces India,Cross-sectional study,Health-care staff,Enhance the preparedness of the hospitals in the response against emerging infectious diseases,"There were gaps in the implementation of various plans and protocols for staff training, risk communication, surge capacity, laboratory capacity, and infection control in the hospitals.",participants: 54,4/26/2020
22,2020-04-08,Application of refined management in prevention and control of the coronavirus disease 2019 epidemic in non-isolated areas of a general hospital,https://doi.org/10.1016/j.ijnss.2020.04.003,International Journal of Nursing Sciences,Systematic review and meta-analysis,Health-care staff,Prevention and control,The accuracy rate of mask-wearing and hand hygiene compliance of patients and their families need to be further improved.,studies: 10,4/26/2020
23,2020-04-07,Guidelines for dental care provision during the COVID-19 pandemic,https://www.sciencedirect.com/science/article/pii/S1013905220303266,Saudi Dental Journal,Expert Review,Dental staff,Dental care provision,"1. Screening every asymptomatic patient meticulously. 2. Considering every patient as a potential asymptomatic COVID-19 carrier. 3. Considering recently recovered patients as potential virus carriers for at least 30 days after the recovery confirmation by a laboratory test 4. Identifying the urgent need of the patient and focusing on managing it with minimally invasive procedures. 5. Categorising dental treatment according to the urgency of the required treatment and the risk and benefit associated with each treatment. 6. Identifying the required dental treatment for each patient and the risks and benefits associated with that treatment. 7. Using contact, and airborne precautions including proper aerosol-generating procedures personal protective equipment (PPE) for every procedure.",studies: 26,4/22/2020
24,2020-04-07,A model to forecast regional demand for COVID-19 related hospital beds,https://doi.org/10.1101/2020.03.26.20044842,medRxiv,Simulation,Health-care staff,COVID-19 related hospital beds,"An interactive, quantitative model that forecasts demand for COVID-19 related hospitalization based on county-level population characteristics, data from the literature on COVID-19, and data from online repositories will continue to aid community and hospital leaders in their response to COVID-19.",studies: 23,4/26/2020
25,2020-04-06,Separate Fever Clinics Prevent the Spread of COVID-19 and Offload Emergency Resources: Analysis from a large tertiary hospital in China,https://doi.org/10.1101/2020.04.03.20051813,medRxiv,Cross-sectional study,Health-care staff and administration,Offload Emergency Resources,The work-load of the Fever Clinic increased after the COVID-19 outbreak and effectively prevented COVID-19 from spreading in the hospital as well as offload ED resources.,patients: 6365,4/26/2020
26,2020-04-06,"Clinical predictors of mortality due to COVID-19 based on an analysis of data of 150 patients from Wuhan, China.",https://link.springer.com/article/10.1007/s00134-020-05991-x?fbclid=IwAR1EbkrPza14Iwx-dNFQDrlYG2HRomm-8Lb7NEvWZIqP1Gff8EBDaLmL7lg,Intensive Care Med,Retrospective observational study,Health-care staff,Nosocomial infection,Percentage of Nosocomial infection (NI) among COVID-19 patients who died was significantly higher than that of patients who were cured and discharged (p= 0.002),patients: 150,4/22/2020
27,2020-04-04,Risk of nosocomial transmission of coronavirus disease 2019: an experience in a general ward setting in Hong Kong.,https://www.sciencedirect.com/science/article/pii/S0195670120301742,Journal of Hospital Infection,Retrospective observational study,Health-care staff,Nosocomial transmissions,"SARS-CoV-2 is not spread by an airborne route, and nosocomial transmissions can be prevented through vigilant basic infection control measures, including wearing of surgical masks, hand and environmental hygiene.",patients: 49; staff: 71,4/22/2020
28,2020-04-03,Hospital pharmacists’ pharmaceutical care for hospitalized patients with COVID-19: Recommendations and guidance from clinical experience,https://doi.org/10.1016/j.sapharm.2020.03.027,Research in Social and Administrative Pharmacy,Systematic review and meta-analysis,Pharmacy staff,Pharmaceutical care for hospitalized patients,"Hospital pharmacists shall support pharmaceutical care services by participating in making evidence-based decisions for medication, monitoring and evaluation of medication safety and efficacy, providing strengthened care for special population and patients with combined underlying diseases, monitoring and management of convalescent plasma therapy, providing emotional counselling and psychological support, and providing scientific information about COVID-19 vaccines.",studies: 29,4/26/2020
29,2020-04-02,Fangcang shelter hospitals: a novel concept for responding to public health emergencies,https://www.thelancet.com/pdfs/journals/lancet/PIIS0140-6736(20)30744-3.pdf,The Lancet,Systematic review and meta-analysis,Health-care staff and administration,Responding to public health emergencies,"Fangcang shelter hospitals could be powerful components of national responses to the COVID-19 pandemic, as well as future epidemics and public health emergencies, with their three key characteristics (rapid construction, massive scale, and low cost) and five essential functions (isolation, triage, basic medical care, frequent monitoring and rapid referral, and essential living and social engagement).",hospitals: 16,4/26/2020
30,2020-04-01,"Practitioners specialized in oral health and coronavirus disease 2019: Professional guidelines from the French society of stomatology, maxillofacial surgery and oral surgery, to form a common front against the infectious risk.",https://www.sciencedirect.com/science/article/pii/S2468785520300720,"The French Society of Stomatology, Maxillo-Facial Surgery and Oral Surgery (SFSCMFCO)",Expert Review,Oral health staff,Front against the infectious risk,"(1) General guidelines and recommendations for practitioners specialized in oral health including regarding safety glasses, masks, gloves, hand washing, disposable items, cleaning protocols; (2) management of an asymptomatic patient or with few symptoms carrying the Covid-19 including transfer, OR, inpatient; (3) management of patients with Covid-19, hospitalized because of their own pathology in adult medical or surgical intensive care units including delayed treatment, transfer, telemedicine, OR.",studies: 44,4/22/2020
31,2020-03-30,"Radiotherapy Workflow and Protection Procedures During the Coronavirus Disease 2019 (COVID-19) Outbreak: Experience of the Hubei Cancer Hospital in Wuhan, China",https://www.sciencedirect.com/science/article/pii/S0167814020301638,Radiotherapy and Oncology,Case Series,Radiology/oncology staff,patient and staff COVID-19 protection and prevention,"Hospital and radiotherapy center implemented multiple measures for patient and staff COVID-19 protection and prevention and during the 6+ weeks of radiation oncology clinical operation, no COVID-19 infection occurred at our radiotherapy center for our patients or employees.",weeks: 6,4/26/2020
32,2019-03-30,Maximizing the Calm before the Storm: Tiered Surgical Response Plan for Novel Coronavirus (COVID-19),https://www.journalacs.org/article/S1072-7515(20)30263-5/pdf,American College of Surgeons,Systematic review and meta-analysis,Surgical staff,Surgical Response Plan,"A tiered plan for surgical department planning based on incident command levels. This includes Acute Care Surgeon deployment (given their critical care training and vertically integrated position in the hospital), recommended infrastructure and transfer utilization, triage principles, and faculty, resident and advanced care practitioner deployment.",studies: 21,4/26/2020
33,2020-03-29,"RESOURCES FOR SMOKE & GAS EVACUATION DURING OPEN, LAPAROSCOPIC, AND ENDOSCOPIC PROCEDURES",https://www.sages.org/resources-smoke-gas-evacuation-during-open-laparoscopic-endoscopic-procedures/,Society of American Gastrointestinal and Endoscopic Surgeons (SAGES),Expert Review,GI staff,Reduce aerosol transmission,"Use of filtration during laproscopy, smoke and gas evacuation methods and products",studies: 23,4/22/2020
34,2020-03-23,Screening and managing of suspected or confirmed novel coronavirus (COVID-19) patients: experiences from a tertiary hospital outside Hubei province,https://doi.org/10.1101/2020.03.20.20038679,medRxiv,Retrospective observational study,Health-care staff,Screening and managing of suspected or confirmed novel coronavirus,"Whilst screening out-patients presenting to a fever clinic remains important, monitoring visitors must not be overlooked.","inpatients: 1246, and hospital visitors: 2531",4/26/2020
35,2020-03-20,COVID-19: Forecasting short term hospital needs in France,https://doi.org/10.1101/2020.03.16.20036939,medRxiv,Simulation,Health-care staff,Forecasting short term hospital needs,"While drastic social distancing measures may temper our results, a massive reorganization leading to an expansion of French ICU capacities seems to be necessary to manage the coming wave of critically affected COVID-19 patients.",model: SEIR,4/26/2020
36,2020-03-20,"COVID-19 outbreak: less stethoscope, more ultrasound",https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(20)30120-X/fulltext,The Lancet,Expert Review,Health-care staff,Nosocomial outbreaks,Suggest promotion of lung ultrasound during consultation to reduce nosocomial outbreaks,studies: 4,4/22/2020
37,2020-03-20,The prevention of nosocomial SARS-CoV2 transmission in endoscopy: a systematic review of recommendations within gastroenterology to identify best practice.,https://www.medrxiv.org/content/10.1101/2020.03.17.20037564v1,medRxiv,Systematic review and meta-analysis,GI staff,Prevent the transmission of SARS-CoV2,"Only 32% (9/28) of all gastroenterology and endoscopy societies issued guidance on endoscopy in the COVID-19 pandemic-->therefore, stronger evidence to inform current practice and robust guidelines are urgently needed to prevent the transmission of SARS-CoV2 in gastrointestinal endoscopy departments worldwide.",societies: 28,4/26/2020
38,2020-03-17,A high efficient hospital emergency responsive mode is the key of successful treatment of 100 COVID-19 patients in Zhuhai,https://doi.org/10.1101/2020.03.15.20034629,medRxiv,Cross-sectional study,Health-care staff,Management and treatment of COVID-19 patients,"Establishment of Novel Coronavirus Pneumonia department, which is administratively led by the president of hospital directly and specialized conduct by respiratory professor, is the key to success in management and treatment of COVID-19 patients. This hospital emergency responsive mode could provide reference for other hospitals and cities in epidemic situation.",patients: 101,4/26/2020
39,2020-03-13,COVID-19: Recommendations for Management of Elective Surgical Procedures,https://www.facs.org/covid-19/clinical-guidance/elective-surgery,American College of Surgeons,Expert Review,Surgical staff,Management of Elective Surgical Procedures,Elective/Inpatient Facilities can be delayed,-,4/22/2020
40,2020-03-12,Guidance for health system contingency planning during widespread transmission of SARS-CoV-2 with high impact on healthcare services,https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-guidance-health-systems-contingency-planning.pdf,European Centre for Disease Prevention and Control,Expert Review,Health-care staff,Widespread transmission of SARS-CoV-2,(1) Contingency planning within the primary care setting; (2) Contingency planning within the hospital setting; (2a) Outpatient facilities; (2b) Inpatient facilities; (2c) Long-term care facilities,studies:10,4/22/2020
41,2020-03-09,Hospital biopreparedness in the Looming Presence of SARS‐CoV‐2/COVID‐19,https://dx.doi.org/10.1002%2Fhsr2.149,Health Science Reports,Systematic review and meta-analysis,Health-care staff,Avoid additional cases of COVID‐19,"Employment of the i3 strategy (identify, isolate, and inform) and those foundational infection prevention practices are necessary to help avoid additional cases of COVID‐19, in addition to other infectious diseases.",studies: 6,4/26/2020
42,2020-03-05,Emergency management for preventing and controlling nosocomial infection of the 2019 novel coronavirus: implications for the dermatology department.,https://onlinelibrary.wiley.com/doi/abs/10.1111/bjd.19011,British Journal of Dermatology,Editorial,Dermatology staff,Preventing and controlling nosocomial infection,Telemedicine/online in dermatology to reduce patient-physician interaction time,-,4/22/2020
43,2020-03-05,Protecting Chinese Healthcare Workers While Combating the 2019 Novel Coronavirus,https://doi.org/10.1017/ice.2020.60,Cambridge University Press,Editorial,Health-care staff,Protecting Chinese Healthcare Workers,"More PPE should be produced or imported,and delivered to hospitals quickly. Training of HCWs to identify suspicious cases and use PPE properly is in urgent need, especially for HCWs in departments other than infectious diseases. Concealing medical history should have legal consequences.",-,4/26/2020
44,2020-03-04,"Air, Surface Environmental, and Personal Protective Equipment Contamination by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) From a Symptomatic Patient",https://jamanetwork.com/journals/jama/fullarticle/2762692,Journal of the American Medical Association,Case series,Health-care staff,Significant environmental contamination by patients with SARS-CoV-2,Significant environmental contamination by patients with SARS-CoV-2 through respiratory droplets and fecal shedding suggests the environment as a potential medium of transmission and supports the need for strict adherence to environmental and hand hygiene.,patients: 3,4/26/2020
45,2020-03-03,Practical experiences and suggestions for the ‘eagle-eyed observer’: a novel promising role for controlling nosocomial infection in the COVID-19 outbreak,https://doi.org/10.1016/j.jhin.2020.02.020,Journal of Hospital Infection,Editorial,Health-care staff,nosocomial infection with COVID-19,Eagle-eyed observer system may help to control nosocomial infection with COVID-19 and other acute infectious diseases.,-,4/26/2020
46,2020-02-27,Clinical Data on Hospital Environmental Hygiene Monitoring and Medical Staff Protection during the Coronavirus Disease 2019 Outbreak,https://doi.org/10.1101/2020.02.25.20028043,medRxiv,Retrospective observational study,Health-care staff and administration,hospital infection control,Viruses could be detected on the surfaces of the nurse station in the isolation area with suspected patients and in the air of the isolation ward with an intensive care patient. Ensure the safety of medical treatment and the quality of hospital infection control through the monitoring of environmental hygiene.,patients: 15; samples: 158,4/26/2020
47,2020-02-29,Healthcare Facilities: Preparing for Community Transmission / Interim Guidance for Healthcare Facilities: Preparing for Community Transmission of COVID-19 in the United States,https://www.cdc.gov/coronavirus/2019-ncov/hcp/guidance-hcf.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fhealthcare-facilities%2Fguidance-hcf.html,Center for Disease Control and Prevention,Expert Review,Health-care staff and administration,Community Transmission of COVID-19,(1) Actions to take now to prepare for an outbreak of COVID-19; (2) Plan to Take the Following Actions if COVID-19 is spreading in your community; (3) Considerations for specific settings: (3a) Outpatient facilities; (3b) Inpatient facilities; (3c) Long-term care facilities,-,4/22/2020
48,2020-02-29,Minimise nosocomial spread of 2019-nCoV when treating acute respiratory failure,https://doi.org/10.1016/S0140-6736(20)30359-7,The Lancet,Expert Review,Health-care staff,nosocomial spread,"We recommend the adoption of helmets and avoidance of face masks as the non-invasive ventilation interface, and suggest that manufacturers should develop cheap and safe non-invasive ventilation interfaces to be used during viral pandemics.",studies: 5,4/26/2020
49,2020-02-27,Integrated infection control strategy to minimize nosocomial infection of coronavirus disease 2019 among ENT healthcare workers.,https://www.journalofhospitalinfection.com/article/S0195-6701(20)30092-X/abstract,Journal of Hospital Infection,Expert Review,ENT staff,minimize nosocomial infection,"Decrease patient density, protectice measures during examination, and pre-appointment temperature monitoring",studies: 6,4/22/2020
50,2020-02-26,Transmission Potential of SARS-CoV-2 in Viral Shedding Observed at the University of Nebraska Medical Center,https://doi.org/10.1101/2020.03.23.20039446,medRxiv,Retrospective observational study,Health-care staff,Viral Shedding,"SARS-CoV-2 is shed during respiration, toileting, and fomite contact, indicating that infection may occur in both direct and indirect contact. Maintain airborne isolation standards including respiratory protection and include routine systematic environmental cleaning and disinfection of patient care areas and surrounding environments.",patients: 13,4/22/2020
51,2020-02-24,Staff safety during emergency airway management for COVID-19 in Hong Kong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7128208/,Lancet Respiratory Medicine,Expert Review,Health-care staff,Staff safety,Safety during patient intubation and ventilation,studies: 5,4/22/2020
52,2020-02-22,Reply to “Coronavirus 2019-nCoV: A brief perspective from the front line”: Nosocomial SARS-CoV-2 infection among nurses in Wuhan from a single center,https://doi.org/10.1016/j.jinf.2020.03.036,Journal of Infection,Retrospective observational study,Health-care staff,Nosocomial SARS-CoV-2 infection,"Medical waste protocols, nursing flow -- work hours, dining times",nurses: 38,4/26/2020
53,2020-02-13,Protecting health-care workers from subclinical coronavirus infection,https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(20)30066-7/fulltext?fbclid=IwAR2hX1uh99BhBwTXg98I5QEc830fw9zxVb4hZuhvCsK6tGWt5ppRzzFMvME,Lancet Respiratory Medicine,Expert Review,Health-care staff,Protecting health-care workers,Use of PPE during asymptomatic spread,studies: 5,4/22/2020
54,2020-02-07,"Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus-Infected Pneumonia in Wuhan, China.",https://jamanetwork.com/journals/jama/article-abstract/2761044,Journal of the American Medical Association,Retrospective observational study,Health-care staff,hospital-associated transmission,Presumed human-to-human hospital-associated transmission of 2019-nCoV was suspected in 41% of patients.,patients: 138,4/22/2020
